Naropa University,Boulder,CO,www.naropa.edu,Private,28790,28790,380,356,24,
Nazarene Bible College,Colorado Springs,CO,www.nbc.edu,Private,10800,10800,889,174,715,
University of Northern Colorado,Greeley,CO,www.unco.edu,Public,6968,18507,9525,8644,881,
Regis University,Denver,CO,www.regis.edu/,Private,32424,32424,4930,2498,2432,
Colorado State University-Pueblo,Pueblo,CO,www.colostate-pueblo.edu,Public,7327,17649,4375,3728,647,
United States Air Force Academy,USAFA,CO,www.usafa.edu,Public,0,0,3993,3993,0,
Western State Colorado University,Gunnison,CO,www.western.edu,Public,7343,17284,1956,1847,109,
Yeshiva Toras Chaim Talmudical Seminary,Denver,CO,0,Private,8600,8600,16,16,0,
Albertus Magnus College,New Haven,CT,www.albertus.edu,Private,28378,28378,1278,1199,79,
University of Bridgeport,Bridgeport,CT,www.bridgeport.edu,Private,29090,29090,2835,2035,800,
Central Connecticut State University,New Britain,CT,www.ccsu.edu,Public,8706,20211,9512,7602,1910,
Charter Oak State College,New Britain,CT,www.charteroak.edu,Public,0,0,1471,298,1173,
Connecticut College,New London,CT,www.connecticutcollege.edu,Private,46085,46085,1878,1873,5,
University of Connecticut,Storrs,CT,uconn.edu/,Public,12022,30970,17684,17083,601,
Goodwin College,East Hartford,CT,www.goodwin.edu,Private,19400,19400,3269,582,2687,
Eastern Connecticut State University,Willimantic,CT,www.easternct.edu/,Public,9376,20881,4920,4394,526,
Fairfield University,Fairfield,CT,fairfield.edu/,Private,42920,42920,3721,3541,180,
University of Hartford,West Hartford,CT,www.hartford.edu,Private,33358,33358,5026,4490,536,
Holy Apostles College and Seminary,Cromwell,CT,www.holyapostles.edu,Private,10470,10470,48,35,13,
Lyme Academy College of Fine Arts,Old Lyme,CT,www.lymeacademy.edu,Private,29616,29616,77,69,8,
Mitchell College,New London,CT,www.mitchell.edu,Private,29458,29458,802,747,55,
University of New Haven,West Haven,CT,www.newhaven.edu,Private,33740,33740,4759,4407,352,
Quinnipiac University,Hamden,CT,www.quinnipiac.edu,Private,39330,39330,6486,6307,179,
Sacred Heart University,Fairfield,CT,www.sacredheart.edu,Private,35050,35050,4409,3771,638,
University of Saint Joseph,West Hartford,CT,www.usj.edu,Private,33417,33417,971,793,178,
St Vincent's College,Bridgeport,CT,www.stvincentscollege.edu,Private,19650,19650,772,152,620,
Southern Connecticut State University,New Haven,CT,www.southernct.edu,Public,9020,20486,8257,7016,1241,
Trinity College,Hartford,CT,www.trincoll.edu,Private,47510,47510,2239,2139,100,
United States Coast Guard Academy,New London,CT,www.uscga.edu,Public,0,0,902,902,0,
Wesleyan University,Middletown,CT,www.wesleyan.edu,Private,47244,47244,2888,2888,0,
Western Connecticut State University,Danbury,CT,www.wcsu.edu,Public,8893,20398,5184,4388,796,
Yale University,New Haven,CT,www.yale.edu,Private,44000,44000,5422,5416,6,
Delaware State University,Dover,DE,www.desu.edu,Public,7336,15692,3719,3487,232,
University of Delaware,Newark,DE,www.udel.edu/,Public,12112,29932,17729,16846,883,
Goldey-Beacom College,Wilmington,DE,www.gbc.edu,Private,22140,22140,548,401,147,
Wesley College,Dover,DE,www.wesley.edu,Private,23590,23590,1481,1407,74,
Wilmington University,New Castle,DE,www.wilmu.edu,Private,9950,9950,8475,3507,4968,
American University,Washington,DC,www.american.edu,Private,40649,40649,6829,6593,236,
Catholic University of America,Washington,DC,www.cua.edu,Private,38526,38526,3641,3446,195,
Corcoran College of Art and Design,Washington,DC,www.corcoran.edu,Private,31130,31130,275,224,51,
University of the District of Columbia,Washington,DC,www.udc.edu,Public,5138,8778,4487,1968,2519,
Gallaudet University,Washington,DC,www.gallaudet.edu,Private,13800,13800,1053,1006,47,
George Washington University,Washington,DC,www.gwu.edu,Private,47343,47343,10121,9525,596,
Georgetown University,Washington,DC,www.georgetown.edu,Private,44805,44805,7261,7057,204,
Howard University,Washington,DC,www.howard.edu,Private,22683,22683,6855,6435,420,
Trinity Washington University,Washington,DC,www.trinitydc.edu,Private,21630,21630,1810,1199,611,
The Baptist College of Florida,Graceville,FL,www.baptistcollege.edu,Private,9700,9700,499,385,114,
Barry University,Miami,FL,www.barry.edu,Private,28160,28160,4284,3592,692,
Bethune-Cookman University,Daytona Beach,FL,www.cookman.edu,Private,14410,14410,3723,3610,113,
Lynn University,Boca Raton,FL,www.lynn.edu,Private,33600,33600,1732,1633,99,
Eastern Florida State College,Cocoa,FL,www.easternflorida.edu,Public,2496,9739,12736,5350,7386,
Broward College,Fort Lauderdale,FL,www.broward.edu,Public,2542,8712,39162,12560,26602,
Carlos Albizu University-Miami,Miami,FL,www.mia.albizu.edu,Private,12048,12048,263,147,116,
College of Central Florida,Ocala,FL,www.cf.edu,Public,2522,10126,7113,2840,4273,
Johnson University Florida,Kissimmee,FL,www.fcc.edu,Private,12470,12470,299,232,67,
University of Central Florida,Orlando,FL,www.ucf.edu/,Public,6317,22416,50919,36096,14823,
Chipola College,Marianna,FL,www.chipola.edu,Public,3120,8950,1635,909,726,
Clearwater Christian College,Clearwater,FL,www.clearwater.edu,Private,17125,17125,491,474,17,
Daytona State College,Daytona Beach,FL,www.daytonastate.edu,Public,3321,12391,12993,5708,7285,
Eckerd College,Saint Petersburg,FL,www.eckerd.edu,Private,37362,37362,2163,1941,222,
Edison State College,Fort Myers,FL,www.edison.edu,Public,3281,12979,12850,4717,8133,
Edward Waters College,Jacksonville,FL,www.ewc.edu,Private,11525,11525,862,845,17,
Embry-Riddle Aeronautical University-Daytona Beach,Daytona Beach,FL,www.erau.edu,Private,31334,31334,4666,4355,311,
Florida Agricultural and Mechanical University,Tallahassee,FL,www.famu.edu,Public,5785,17725,8825,8022,803,
Florida Atlantic University,Boca Raton,FL,www.fau.edu/,Public,4790,17234,24685,15566,9119,
Florida State College at Jacksonville,Jacksonville,FL,www.fscj.edu,Public,2830,9944,25018,8676,16342,
Flagler College-St Augustine,Saint Augustine,FL,www.flagler.edu,Private,16180,16180,2839,2746,93,
Florida College,Temple Terrace,FL,www.floridacollege.edu,Private,14490,14490,558,533,25,
Adventist University of Health Sciences,Orlando,FL,www.adu.edu,Private,11830,11830,2064,597,1467,
Florida Institute of Technology,Melbourne,FL,www.fit.edu,Private,36020,36020,3191,3063,128,
Florida International University,Miami,FL,www.fiu.edu,Public,6496,18895,38234,25645,12589,
Florida Memorial University,Miami Gardens,FL,www.fmuniv.edu,Private,14776,14776,1517,1414,103,
Florida Southern College,Lakeland,FL,www.flsouthern.edu,Private,28580,28580,2379,2124,255,
Florida State University,Tallahassee,FL,www.fsu.edu,Public,6507,21673,32086,28709,3377,
University of Florida,Gainesville,FL,www.ufl.edu/,Public,6263,28541,32346,30054,2292,
Gulf Coast State College,Panama City,FL,www.gulfcoast.edu/default.htm,Public,2765,10072,3643,1659,1984,
Hobe Sound Bible College,Hobe Sound,FL,www.hsbc.edu,Private,5700,5700,194,95,99,
Indian River State College,Fort Pierce,FL,www.irsc.edu,Public,2764,10201,13993,5326,8667,
Jacksonville University,Jacksonville,FL,www.jacksonville.edu,Private,29900,29900,3360,2195,1165,
Jones College-Jacksonville,Jacksonville,FL,www.jones.edu,Private,7410,7410,445,64,381,
Keiser University-Ft Lauderdale,Fort Lauderdale,FL,www.keiseruniversity.edu,Private,16284,16284,15788,11898,3890,
Florida Gateway College,Lake City,FL,https://www.fgc.edu/,Public,3100,11747,2234,838,1396,
Lake-Sumter State College,Leesburg,FL,www.lssc.edu,Public,3172,13276,3510,1188,2322,
Luther Rice University & Seminary,Lithonia,GA,www.lru.edu,Private,5832,5832,510,122,388,
State College of Florida-Manatee-Sarasota,Bradenton,FL,www.scf.edu,Public,3074,11597,9421,4078,5343,
Trinity International University-Florida,Davie,FL,www.florida.tiu.edu,Private,0,0,257,106,151,
Miami Dade College,Miami,FL,www.mdc.edu/main/,Public,3426,11955,61684,26099,35585,
University of Miami,Coral Gables,FL,www.miami.edu/,Private,42852,42852,11246,10517,729,
Remington College-Tampa Campus,Tampa,FL,www.remingtoncollege.edu/tampa,Private,15995,15995,189,189,0,
University of North Florida,Jacksonville,FL,www.unf.edu,Public,6353,20756,14006,9990,4016,
Northwood University-Florida,West Palm Beach,FL,www.northwood.edu,Private,22130,22130,609,536,73,
Nova Southeastern University,Fort Lauderdale,FL,www.nova.edu,Private,25430,25430,5053,3452,1601,
Northwest Florida State College,Niceville,FL,www.nwfsc.edu/,Public,3064,11373,5549,2531,3018,
Palm Beach Atlantic University,West Palm Beach,FL,www.pba.edu,Private,25532,25532,2501,2358,143,
Palm Beach State College,Lake Worth,FL,www.palmbeachstate.edu/,Public,2378,8612,26106,9073,17033,
Pensacola State College,Pensacola,FL,www.pensacolastate.edu,Public,2704,10875,9026,4025,5001,
Polk State College,Winter Haven,FL,www.polk.edu,Public,3366,12272,9443,3537,5906,
Ringling College of Art and Design,Sarasota,FL,www.ringling.edu,Private,38540,38540,1253,1212,41,
Rollins College,Winter Park,FL,www.rollins.edu,Private,41460,41460,2608,2366,242,
Saint Leo University,Saint Leo,FL,www.saintleo.edu,Private,19920,19920,11993,8426,3567,
St Petersburg College,Clearwater,FL,www.spcollege.edu,Public,3232,11477,27166,8252,18914,
Santa Fe College,Gainesville,FL,www.sfcollege.edu,Public,2532,9157,13764,5503,8261,
Seminole State College of Florida,Sanford,FL,www.seminolestate.edu/,Public,3131,11456,16567,6799,9768,
Saint John Vianney College Seminary,Miami,FL,sjvcs.edu,Private,21100,21100,77,77,0,
Saint Johns River State College,Palatka,FL,www.sjrstate.edu,Public,2998,10668,5173,2183,2990,
South Florida State College,Avon Park,FL,www.southflorida.edu,Public,3175,11869,2031,874,1157,
University of South Florida-Main Campus,Tampa,FL,www.usf.edu,Public,6410,17324,30376,23440,6936,
St Thomas University,Miami Gardens,FL,www.stu.edu,Private,26370,26370,1035,963,72,
Stetson University,DeLand,FL,www.stetson.edu,Private,38330,38330,2711,2677,34,
Southeastern University,Lakeland,FL,www.seu.edu/,Private,19986,19986,2633,2471,162,
Talmudic College of Florida,Miami Beach,FL,www.talmudicu.edu,Private,12500,12500,32,32,0,
